,precision,recall,f1-score,support
C,0.8489140698772427,0.905337361530715,0.8762183235867447,993.0
CL,0.6666666666666666,0.14545454545454545,0.23880597014925373,55.0
D,0.7862745098039216,0.7523452157598499,0.7689357622243528,533.0
accuracy,0.8273244781783681,0.8273244781783681,0.8273244781783681,0.8273244781783681
macro avg,0.7672850821159436,0.6010457075817035,0.627986685320117,1581.0
weighted avg,0.8214564527389365,0.8273244781783681,0.8178759550571957,1581.0
