Train_Size_Absolute,Train_Size_Percentage,Train_Macro_F1_Mean,Train_Macro_F1_Std,Val_Macro_F1_Mean,Val_Macro_F1_Std
632,10,0.8521473570594462,0.010809320148270794,0.5671150353214195,0.015585503467966442
1897,30,0.8823906669545449,0.01267205101765204,0.6017810244713582,0.020125172391100683
3162,50,0.9019433238653927,0.008084674521534057,0.6370949263980046,0.017590540822026317
4426,70,0.9091109802995325,0.003353637423097637,0.664287665389048,0.012317202010356007
6324,100,0.9133759646929291,0.0035161027228882685,0.665695810562017,0.014198251932625614
