Model,Accuracy,Macro F1,Precision Macro,Recall Macro,Balanced Accuracy
Model 1 (Default),0.8273244781783681,0.627986685320117,0.7672850821159436,0.6010457075817035,0.6010457075817035
Model 2 (Balanced),0.8165717900063251,0.6518768623882124,0.6687896035872957,0.6417871258339904,0.6417871258339904
