Model,Accuracy,Macro F1,Precision Macro,Recall Macro,Balanced Accuracy,CL Precision,CL Recall,CL F1
Model A (balanced),0.8165717900063251,0.6518768623882124,0.6687896035872957,0.6417871258339904,0.6417871258339904,0.38461538461538464,0.2727272727272727,0.3191489361702128
Model B (1:5:1),0.8323845667299178,0.653719647560929,0.7192197208407679,0.6263411565305309,0.6263411565305309,0.5,0.21818181818181817,0.3037974683544304
Model C (1:10:1),0.8235294117647058,0.6503035093733663,0.7016111590809667,0.6250488538308154,0.6250488538308154,0.4642857142857143,0.23636363636363636,0.3132530120481928
Model D (1:15:1),0.825426944971537,0.6519617896039881,0.6795725085329046,0.6343881959090861,0.6343881959090861,0.3888888888888889,0.2545454545454545,0.3076923076923077
